Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Classification
9/14/2018,2018,9,14,Friday,36,2018-36,94.53,94.84,94.35,94.59,6319400,91.4,-0.005571976,95.835,91.5618,RED
9/17/2018,2018,9,17,Monday,37,2018-37,94.75,95.48,94.37,94.82,5329800,91.62,0.002431582,95.855,91.768,RED
9/18/2018,2018,9,18,Tuesday,37,2018-37,94.46,95.59,94.15,95.43,6759800,92.21,0.006433248,95.80928571,91.958,RED
9/19/2018,2018,9,19,Wednesday,37,2018-37,95.57,95.89,94.88,95.24,5675100,92.03,-0.001991014,95.78071429,92.1186,RED
9/20/2018,2018,9,20,Thursday,37,2018-37,95.35,95.79,94.95,95.75,5552300,92.52,0.005354915,95.75571429,92.303,RED
9/21/2018,2018,9,21,Friday,37,2018-37,95.92,96.29,95.63,95.9,9530100,92.67,0.001566596,95.75857143,92.4906,RED
9/24/2018,2018,9,24,Monday,38,2018-38,95.44,96,94.86,94.92,5337000,91.72,-0.010219013,95.72714286,92.635,RED
9/25/2018,2018,9,25,Tuesday,38,2018-38,95.99,96.52,94.99,95.1,6193200,91.89,0.001896337,95.61857143,92.7842,RED
9/26/2018,2018,9,26,Wednesday,38,2018-38,95.1,95.59,94.52,94.59,5918600,91.4,-0.005362799,95.48571429,92.9122,RED
9/27/2018,2018,9,27,Thursday,38,2018-38,94.19,94.96,93.82,94.13,5363400,90.96,-0.004863084,95.36428571,93.0334,RED
9/28/2018,2018,9,28,Friday,38,2018-38,94.28,94.37,93.69,93.91,6306300,90.74,-0.002337125,95.15071429,93.1572,RED
10/1/2018,2018,10,1,Monday,39,2018-39,94.29,94.66,94.04,94.4,4994300,91.22,0.005217739,94.99071429,93.284,RED
10/2/2018,2018,10,2,Tuesday,39,2018-39,93.93,95.61,93.85,95.15,7754600,91.94,0.007944915,94.93214286,93.4344,RED
10/3/2018,2018,10,3,Wednesday,39,2018-39,95.5,95.54,94.04,94.07,6327400,90.9,-0.011350518,94.85714286,93.5566,RED
10/4/2018,2018,10,4,Thursday,39,2018-39,94.07,94.5,93.2,94.21,6045300,91.03,0.001488247,94.83,93.6828,RED
10/5/2018,2018,10,5,Friday,39,2018-39,93.86,94.19,92.89,93.31,6693400,90.16,-0.009553142,94.72214286,93.7844,RED
10/8/2018,2018,10,8,Monday,40,2018-40,93.25,94.93,93.02,94.69,5762600,91.5,0.014789464,94.66928571,93.9156,RED
10/9/2018,2018,10,9,Tuesday,40,2018-40,95.64,97.74,95.19,97.08,11598900,93.81,0.025240251,94.80071429,94.0796,RED
10/10/2018,2018,10,10,Wednesday,40,2018-40,96.6,97.85,95.7,95.76,9002800,92.53,-0.01359703,94.80142857,94.2102,RED
10/11/2018,2018,10,11,Thursday,40,2018-40,95.81,96.29,93.6,93.92,9926500,90.75,-0.019214744,94.66,94.3238,RED
10/12/2018,2018,10,12,Friday,40,2018-40,94.76,95.17,93.67,94.81,8553900,91.61,0.009476144,94.65214286,94.4448,RED
10/15/2018,2018,10,15,Monday,41,2018-41,94.5,94.99,93.82,93.82,8305500,90.66,-0.010441914,94.56071429,94.5292,GREEN
10/16/2018,2018,10,16,Tuesday,41,2018-41,94.7,96.07,94.34,95.81,11241700,92.58,0.021210807,94.64785714,94.652,GREEN
10/17/2018,2018,10,17,Wednesday,41,2018-41,95.18,96.62,94.9,96.56,9539400,93.3,0.007827993,94.82142857,94.7878,GREEN
10/18/2018,2018,10,18,Thursday,41,2018-41,96.4,97.25,95.74,96.17,11398400,92.93,-0.004038933,94.98285714,94.9102,GREEN
10/19/2018,2018,10,19,Friday,41,2018-41,96,97.65,96,97.15,8950700,93.87,0.010190323,95.17928571,95.073,GREEN
10/22/2018,2018,10,22,Monday,42,2018-42,97.34,97.58,96.74,97.14,7122900,93.86,-0.000102956,95.32142857,95.2122,RED
10/23/2018,2018,10,23,Tuesday,42,2018-42,96.5,97.99,96.11,97.8,9405800,94.5,0.006794355,95.58785714,95.3754,RED
10/24/2018,2018,10,24,Wednesday,42,2018-42,97.5,99.17,97.28,97.56,10364700,94.27,-0.002454044,95.82714286,95.5096,RED
10/25/2018,2018,10,25,Thursday,42,2018-42,98.01,99.48,97,99.18,10737100,95.84,0.016605195,96.24642857,95.6888,RED
10/26/2018,2018,10,26,Friday,42,2018-42,98.81,99.67,98.02,98.94,14925600,95.6,-0.002419821,96.55,95.6948,RED
10/29/2018,2018,10,29,Monday,43,2018-43,99.51,101.73,99.09,99.8,12706100,96.44,0.008692143,96.74428571,95.7338,RED
10/30/2018,2018,10,30,Tuesday,43,2018-43,100.21,102.6,100.06,102.42,12708500,98.97,0.026252455,97.22,95.8622,RED
10/31/2018,2018,10,31,Wednesday,43,2018-43,102.49,102.49,100.12,100.28,12354900,96.9,-0.020894351,97.67428571,95.9462,RED
11/1/2018,2018,11,1,Thursday,43,2018-43,99.96,101.17,99.72,100.58,7735100,97.19,0.002991654,98.08642857,96.0444,RED
11/2/2018,2018,11,2,Friday,43,2018-43,100.88,101.57,100.31,101.34,7303200,97.92,0.007556119,98.62357143,96.1676,RED
11/5/2018,2018,11,5,Monday,44,2018-44,101.19,103.17,100.63,102.91,7616800,99.44,0.015492475,99.13071429,96.3268,GREEN
11/6/2018,2018,11,6,Tuesday,44,2018-44,102.54,103.44,102.05,103.33,6368700,99.85,0.004081218,99.61428571,96.5026,GREEN
11/7/2018,2018,11,7,Wednesday,44,2018-44,103.66,104.47,103.05,104.32,8672600,100.8,0.009580933,100.1964286,96.6676,GREEN
11/8/2018,2018,11,8,Thursday,44,2018-44,104.33,105.26,104.03,104.88,5961400,101.34,0.005368075,100.7485714,96.8524,GREEN
11/9/2018,2018,11,9,Friday,44,2018-44,105,105.9,104.81,105.56,8450400,102,0.006483603,101.35,97.0416,GREEN
11/12/2018,2018,11,12,Monday,45,2018-45,105.5,106.21,103.65,103.87,8943100,100.37,-0.016009803,101.7835714,97.2018,RED
11/13/2018,2018,11,13,Tuesday,45,2018-45,103.67,104.15,102.54,102.94,7956700,99.47,-0.008953502,102.1678571,97.3534,RED
11/14/2018,2018,11,14,Wednesday,45,2018-45,103,103.15,101.01,101.53,10481900,98.11,-0.013697335,102.3357143,97.4516,RED
11/15/2018,2018,11,15,Thursday,45,2018-45,102.32,102.8,98.62,99.54,16082600,96.18,-0.019600097,102.3785714,97.5134,RED
11/16/2018,2018,11,16,Friday,45,2018-45,98.82,99.42,96.92,97.69,14235200,94.4,-0.018585478,102.2278571,97.5506,RED
11/19/2018,2018,11,19,Monday,46,2018-46,97.94,98.25,96.43,96.78,9214400,93.52,-0.009315218,101.825,97.5482,RED
11/20/2018,2018,11,20,Tuesday,46,2018-46,94.98,95.2,93.6,94.16,12620600,90.99,-0.027071659,101.3878571,97.4986,RED
11/21/2018,2018,11,21,Wednesday,46,2018-46,94.36,94.92,93.31,94.17,9350900,91,0.000106144,100.93,97.4626,RED
11/23/2018,2018,11,23,Friday,46,2018-46,94.13,95.55,94.13,95.1,4890000,91.89,0.00987576,100.4842857,97.4622,RED
11/26/2018,2018,11,26,Monday,47,2018-47,95.69,96.07,94.74,95.15,10034600,91.94,0.000525794,99.93,97.4734,GREEN
11/27/2018,2018,11,27,Tuesday,47,2018-47,94.99,95.54,94.41,95.04,9042300,91.84,-0.001156076,99.33785714,97.4778,GREEN
11/28/2018,2018,11,28,Wednesday,47,2018-47,95.45,97.62,95.05,97.46,10070800,94.17,0.025462943,98.84785714,97.5184,GREEN
11/29/2018,2018,11,29,Thursday,47,2018-47,97.02,97.83,96.74,97.29,6241300,94.01,-0.001744287,98.30571429,97.5594,GREEN
11/30/2018,2018,11,30,Friday,47,2018-47,97.4,98.43,97.07,97.65,10664000,94.36,0.003700284,97.74071429,97.5974,GREEN
12/3/2018,2018,12,3,Monday,48,2018-48,98.02,99.59,97.67,98.75,9082100,95.42,0.011264705,97.375,97.6544,RED
12/4/2018,2018,12,4,Tuesday,48,2018-48,98.25,98.96,95.61,95.81,10426300,92.58,-0.029772177,96.86571429,97.6722,RED
12/6/2018,2018,12,6,Thursday,48,2018-48,94.94,95.41,93.1,94.77,10367200,92.07,-0.010854827,96.38285714,97.6656,RED
12/7/2018,2018,12,7,Friday,48,2018-48,94.5,95.13,92.45,93.19,8496500,90.54,-0.016671882,95.92928571,97.6376,RED
12/10/2018,2018,12,10,Monday,49,2018-49,93.56,94.25,92.34,93.94,7276900,91.27,0.008048074,95.66142857,97.6338,RED
12/11/2018,2018,12,11,Tuesday,49,2018-49,94.25,94.49,93.25,93.85,6452500,91.18,-0.000958101,95.45214286,97.6326,RED
12/12/2018,2018,12,12,Wednesday,49,2018-49,94.3,94.3,93.06,93.11,9639200,90.46,-0.0078849,95.37714286,97.6068,RED
12/13/2018,2018,12,13,Thursday,49,2018-49,93.25,93.68,92.43,92.96,8042300,90.32,-0.001611014,95.29071429,97.563,RED
12/14/2018,2018,12,14,Friday,49,2018-49,92.05,92.56,91.57,91.85,11493600,89.24,-0.011940626,95.05857143,97.5186,RED
12/17/2018,2018,12,17,Monday,50,2018-50,91.22,92.01,90.16,90.77,9001800,88.19,-0.011758322,94.74571429,97.4498,RED
12/18/2018,2018,12,18,Tuesday,50,2018-50,90.8,91.26,90.28,91.08,9606700,88.49,0.003415283,94.46285714,97.4052,RED
12/19/2018,2018,12,19,Wednesday,50,2018-50,91.29,93,90.25,90.55,12231500,87.97,-0.005819047,93.96928571,97.3224,RED
12/20/2018,2018,12,20,Thursday,50,2018-50,90.11,90.11,86.14,87.28,16373800,84.8,-0.036112691,93.25428571,97.1264,RED
12/21/2018,2018,12,21,Friday,50,2018-50,86.87,89.47,86.8,87.13,14921500,84.65,-0.001718624,92.50285714,96.9538,RED
12/24/2018,2018,12,24,Monday,51,2018-51,86.54,87.57,85.78,85.82,6110300,83.38,-0.015034978,91.57928571,96.7918,GREEN
12/26/2018,2018,12,26,Wednesday,51,2018-51,86.42,90.42,86.3,90.41,10028300,87.84,0.053484083,91.19357143,96.7038,GREEN
12/27/2018,2018,12,27,Thursday,51,2018-51,89.75,91.61,88.44,91.59,9881500,88.98,0.013051572,90.96642857,96.6592,GREEN
12/28/2018,2018,12,28,Friday,51,2018-51,92.07,93.47,91.65,92.13,9874000,89.51,0.00589585,90.89071429,96.5856,GREEN
12/31/2018,2018,12,31,Monday,52,2018-52,92.67,93.39,92.25,93.15,7005800,90.5,0.011071359,90.83428571,96.5174,RED
1/2/2019,2019,1,2,Wednesday,0,2019-00,91.64,93.65,91.64,93.34,8152700,90.69,0.002039665,90.79785714,96.4608,RED
1/3/2019,2019,1,3,Thursday,0,2019-00,93.21,94.71,92.7,92.86,8277300,90.22,-0.005142444,90.78,96.375,RED
1/4/2019,2019,1,4,Friday,0,2019-00,93.21,93.66,92.69,93.44,8029100,90.78,0.006245981,90.81428571,96.301,RED
1/7/2019,2019,1,7,Monday,1,2019-01,93.62,95.17,93.18,94.54,7789700,91.85,0.011772244,91.00642857,96.2358,RED
1/8/2019,2019,1,8,Tuesday,1,2019-01,95.06,95.76,93.91,95.2,7200900,92.49,0.00698113,91.32285714,96.1886,RED
1/9/2019,2019,1,9,Wednesday,1,2019-01,95.71,96.14,94.77,94.89,6272300,92.19,-0.003256277,91.595,96.1028,RED
1/10/2019,2019,1,10,Thursday,1,2019-01,93.88,94.98,93.12,94.96,9396300,92.26,0.000737693,91.91,96.0232,RED
1/11/2019,2019,1,11,Friday,1,2019-01,94.99,95.29,94.55,94.84,5394600,92.14,-0.001263719,92.45,95.924,RED
